#Circular motion
2.95305 0.906315
2.96507 0.912223
2.9771 0.918155
2.98916 0.92411
3.00125 0.930087
3.01335 0.936085
3.02548 0.942104
3.03763 0.948143
3.0498 0.954201
3.062 0.960276
3.07422 0.966369
3.08646 0.972477
3.09872 0.978601
3.111 0.984738
3.12331 0.99089
3.13564 0.997053
3.14798 1.00323
3.16036 1.00941
3.17275 1.01561
3.18516 1.02181
3.1976 1.02802
3.21005 1.03424
3.22253 1.04046
3.23503 1.04668
3.24755 1.05291
3.26009 1.05914
3.27266 1.06538
3.28524 1.07161
3.29784 1.07784
3.31047 1.08407
3.32311 1.09029
3.33577 1.09652
3.34846 1.10273
3.36116 1.10894
3.37389 1.11514
3.38663 1.12133
3.3994 1.12751
3.41218 1.13368
3.42499 1.13984
3.43781 1.14599
3.45065 1.15211
3.46351 1.15823
3.47639 1.16432
3.48929 1.1704
3.50221 1.17646
3.51514 1.1825
3.5281 1.18851
3.54107 1.1945
3.55406 1.20047
3.56707 1.20641
3.5801 1.21233
3.59314 1.21821
3.6062 1.22407
3.61928 1.2299
3.63238 1.23569
3.64549 1.24146
3.65862 1.24718
3.67177 1.25288
3.68493 1.25853
3.69811 1.26415
3.71131 1.26973
3.72452 1.27527
3.73775 1.28076
3.75099 1.28622
3.76425 1.29163
3.77752 1.297
3.79081 1.30232
3.80412 1.30759
3.81744 1.31281
3.83077 1.31798
3.84412 1.32311
3.85748 1.32818
3.87086 1.33319
3.88425 1.33816
3.89766 1.34306
3.91107 1.34791
3.92451 1.3527
3.93795 1.35744
3.95141 1.36211
3.96488 1.36672
3.97836 1.37127
3.99186 1.37576
4.00537 1.38018
4.01889 1.38453
4.03242 1.38882
4.04596 1.39305
4.05952 1.3972
4.07308 1.40128
4.08666 1.40529
4.10025 1.40924
4.11384 1.4131
4.12745 1.4169
4.14107 1.42062
4.1547 1.42426
4.16834 1.42783
4.18198 1.43133
4.19564 1.43474
4.20931 1.43807
4.22298 1.44133
4.23667 1.4445
4.25036 1.4476
4.26406 1.45061
4.27777 1.45354
4.29148 1.45638
4.30521 1.45914
4.31894 1.46181
4.33267 1.4644
4.34642 1.46691
4.36017 1.46932
4.37393 1.47165
4.38769 1.47389
4.40146 1.47604
4.41524 1.4781
4.42902 1.48007
4.44281 1.48195
4.4566 1.48374
4.47039 1.48544
4.48419 1.48705
4.498 1.48856
4.51181 1.48999
4.52562 1.49132
4.53944 1.49255
4.55326 1.49369
4.56708 1.49474
4.58091 1.49569
4.59474 1.49655
4.60857 1.49731
4.62241 1.49798
4.63624 1.49856
4.65008 1.49903
4.66392 1.49942
4.67776 1.4997
4.6916 1.49989
4.70545 1.49999
4.71929 1.49999
4.73313 1.49989
4.74698 1.4997
4.76082 1.49941
4.77467 1.49903
4.78851 1.49855
4.80235 1.49797
4.81619 1.4973
4.83003 1.49654
4.84387 1.49568
4.85771 1.49472
4.87154 1.49367
4.88538 1.49253
4.89921 1.49129
4.91304 1.48996
4.92686 1.48853
4.94068 1.48701
4.9545 1.4854
4.96831 1.4837
4.98213 1.48191
4.99593 1.48002
5.00973 1.47804
5.02353 1.47597
5.03733 1.47382
5.05111 1.47157
5.0649 1.46923
5.07867 1.46681
5.09245 1.4643
5.10621 1.4617
5.11997 1.45902
5.13372 1.45625
5.14747 1.45339
5.16121 1.45045
5.17494 1.44743
5.18867 1.44433
5.20239 1.44114
5.2161 1.43787
5.2298 1.43452
5.24349 1.43109
5.25718 1.42759
5.27086 1.424
5.28453 1.42034
5.29818 1.4166
5.31183 1.41279
5.32548 1.4089
5.33911 1.40494
5.35273 1.40091
5.36634 1.3968
5.37994 1.39263
5.39353 1.38839
5.40711 1.38408
5.42068 1.3797
5.43423 1.37525
5.44778 1.37074
5.46131 1.36617
5.47484 1.36153
5.48835 1.35683
5.50184 1.35207
5.51533 1.34725
5.5288 1.34237
5.54226 1.33743
5.55571 1.33244
5.56914 1.3274
5.58257 1.32229
5.59597 1.31714
5.60937 1.31193
5.62275 1.30668
5.63611 1.30137
5.64946 1.29602
5.6628 1.29062
5.67612 1.28517
5.68943 1.27968
5.70272 1.27415
5.716 1.26857
5.72926 1.26296
5.7425 1.2573
5.75573 1.25161
5.76895 1.24587
5.78214 1.24011
5.79533 1.23431
5.80849 1.22847
5.82164 1.2226
5.83477 1.2167
5.84789 1.21078
5.86098 1.20482
5.87406 1.19884
5.88713 1.19283
5.90017 1.18679
5.9132 1.18073
5.92621 1.17465
5.9392 1.16855
5.95217 1.16243
5.96513 1.15629
5.97806 1.15013
5.99098 1.14396
6.00388 1.13777
6.01676 1.13157
6.02962 1.12535
6.04246 1.11913
6.05529 1.11289
6.06809 1.10665
6.08087 1.10039
6.09364 1.09413
6.10638 1.08787
6.11911 1.0816
6.13181 1.07532
6.14449 1.06905
6.15716 1.06277
6.1698 1.0565
6.18242 1.05022
6.19502 1.04395
6.2076 1.03768
6.22016 1.03141
6.2327 1.02515
6.24522 1.0189
6.25772 1.01266
6.27019 1.00642
6.28265 1.00019
6.29508 0.993975
6.30749 0.987771
6.31988 0.981579
6.33225 0.975401
6.34459 0.969238
6.35691 0.96309
6.36922 0.956959
6.38149 0.950845
6.39375 0.94475
6.40599 0.938674
6.4182 0.932619
6.43039 0.926584
6.44256 0.920572
6.4547 0.914582
6.46682 0.908616
6.47892 0.902675
6.491 0.896759
6.50306 0.890869
6.51509 0.885006
6.5271 0.879171
6.53908 0.873365
6.55104 0.867588
6.56298 0.86184
6.5749 0.856124
6.58679 0.850439
6.59866 0.844786
6.61051 0.839166
6.62234 0.833579
6.63414 0.828027
6.64591 0.822509
6.65767 0.817027
6.6694 0.811581
6.68111 0.806172
6.69279 0.8008
6.70445 0.795466
6.71609 0.79017
6.7277 0.784913
6.73929 0.779696
6.75086 0.774519
6.7624 0.769382
6.77393 0.764286
6.78542 0.759232
6.7969 0.75422
6.80835 0.74925
6.81977 0.744323
6.83118 0.73944
6.84256 0.7346
6.85392 0.729804
6.86525 0.725053
6.87656 0.720347
6.88785 0.715686
6.89911 0.711071
6.91036 0.706502
6.92157 0.701979
6.93277 0.697503
6.94394 0.693074
6.95509 0.688692
6.96622 0.684358
6.97732 0.680071
6.98841 0.675833
6.99946 0.671643
7.0105 0.667502
7.02151 0.663409
7.03251 0.659365
7.04347 0.655371
7.05442 0.651426
7.06535 0.647531
7.07625 0.643685
7.08713 0.63989
7.09799 0.636144
7.10883 0.632449
7.11964 0.628804
7.13043 0.62521
7.14121 0.621667
7.15196 0.618174
7.16269 0.614732
7.1734 0.611341
7.18409 0.608001
7.19475 0.604713
7.2054 0.601475
7.21603 0.598289
7.22663 0.595154
7.23722 0.592071
7.24778 0.589039
